id,L,area,cx,cy
109,59.947967529296875,793,685.5838587641866,892.59394703657
111,52.61418914794922,1144,771.0043706293707,584.8601398601398
112,62.07386779785156,655,856.769465648855,637.8091603053435
113,61.513248443603516,292,936.6883561643835,458.31164383561645
114,68.33747863769531,495,917.8848484848485,942.5515151515151
115,68.41055297851562,445,963.1977528089888,883.7820224719101
116,65.4123306274414,465,972.2559139784946,577.6881720430108
117,69.34923553466797,488,672.7233606557377,725.7254098360655
118,59.89646911621094,278,975.0179856115108,677.0827338129496
119,56.80746841430664,994,897.4124748490946,674.4587525150905
120,60.55047607421875,833,502.547418967587,1018.8787515006003
121,63.34452819824219,681,945.0234948604992,883.4640234948605
122,60.2374382019043,689,308.6197387518142,552.8359941944848
123,62.3879280090332,531,382.84180790960454,1012.532956685499
124,64.34001922607422,595,576.1915966386555,582.1529411764706
125,60.7759895324707,786,857.5101781170483,935.1297709923664
126,63.411766052246094,843,686.5539739027283,535.9893238434164
127,59.87789535522461,672,772.7946428571429,656.6875
128,61.31993865966797,592,574.7550675675676,810.043918918919
129,61.39064407348633,877,815.7103762827822,776.8551881413911
130,54.07975387573242,495,251.92727272727274,754.6626262626263
132,63.775882720947266,398,413.178391959799,710.7437185929648
134,56.57744598388672,850,798.8858823529412,532.3741176470588
135,58.94306564331055,713,950.437587657784,482.79663394109394
136,57.77239990234375,835,396.58922155688623,494.5365269461078
137,59.74444580078125,937,846.2017075773746,846.1739594450373
138,61.86479568481445,531,949.4915254237288,670.4745762711865
139,61.34210205078125,716,946.7081005586592,1086.8896648044692
140,59.74676513671875,597,500.3718592964824,758.1926298157454
142,63.71865463256836,415,915.4361445783132,879.9036144578313
144,59.862831115722656,784,673.795918367347,1045.281887755102
145,64.40899658203125,389,661.2724935732648,756.254498714653
146,57.85322189331055,691,731.0998552821997,964.6830680173662
148,61.1555061340332,698,864.0974212034384,1051.1977077363897
149,57.16971969604492,780,661.6666666666666,866.4064102564103
151,56.2204475402832,1004,845.7938247011953,692.2260956175298
152,62.891117095947266,520,496.9846153846154,514.1826923076923
153,56.343170166015625,747,962.1378848728247,971.3119143239625
154,64.49888610839844,376,430.59840425531917,885.0851063829788
155,63.47963333129883,359,372.16713091922,560.3704735376044
156,60.49039840698242,530,524.3283018867925,571.8150943396226
157,59.71398162841797,875,937.8331428571429,1065.809142857143
